 
 
 t=           1
 i=         100
--->h_desplazatua_gorde(i)    0.00000019382415
--->kontzentrazioa_gorde(i)    0.00000006670000
--->u_gorde(i)   -0.00000171174956   -0.00000104407615   -0.00000000098128
--->h_gorde(i)    0.00000019383501
 i=         200
--->h_desplazatua_gorde(i)    0.00000020761368
--->kontzentrazioa_gorde(i)    0.00000006670000
--->u_gorde(i)   -0.00000236563256    0.00000003740236   -0.00000000098181
--->h_gorde(i)    0.00000020760927
 i=         300
--->h_desplazatua_gorde(i)    0.00000020761548
--->kontzentrazioa_gorde(i)    0.00000006670000
--->u_gorde(i)   -0.00000208243332   -0.00000027632608   -0.00000000098172
--->h_gorde(i)    0.00000020761464
 i=         400
--->h_desplazatua_gorde(i)    0.00000020761483
--->kontzentrazioa_gorde(i)    0.00000006670000
--->u_gorde(i)   -0.00000187949358   -0.00000017092920   -0.00000000098181
--->h_gorde(i)    0.00000020760879
 i=         500
--->h_desplazatua_gorde(i)    0.00000020761492
--->kontzentrazioa_gorde(i)    0.00000006670000
--->u_gorde(i)   -0.00000204104676    0.00000020873299   -0.00000000098143
--->h_gorde(i)    0.00000020761796
 i=         600
--->h_desplazatua_gorde(i)    0.00000020761740
--->kontzentrazioa_gorde(i)    0.00000006670000
--->u_gorde(i)   -0.00000187888626    0.00000023047860   -0.00000000098132
--->h_gorde(i)    0.00000020762613
 i=         700
--->h_desplazatua_gorde(i)    0.00000020761964
--->kontzentrazioa_gorde(i)    0.00000006670000
--->u_gorde(i)   -0.00000168142989    0.00000033333058   -0.00000000098131
--->h_gorde(i)    0.00000020762727
 i=         800
--->h_desplazatua_gorde(i)    0.00000020761718
--->kontzentrazioa_gorde(i)    0.00000006670000
--->u_gorde(i)   -0.00000179137180   -0.00000011689380   -0.00000000098170
--->h_gorde(i)    0.00000020761559
 i=         900
--->h_desplazatua_gorde(i)    0.00000020761538
--->kontzentrazioa_gorde(i)    0.00000006670000
--->u_gorde(i)   -0.00000205954790   -0.00000035618892   -0.00000000098181
--->h_gorde(i)    0.00000020760949
 i=        1000
--->h_desplazatua_gorde(i)    0.00000020761484
--->kontzentrazioa_gorde(i)    0.00000006670000
--->u_gorde(i)   -0.00000240607381    0.00000030026022   -0.00000000098182
